==========Valid [1/20]	loss 2.306	top1 66.402 (66.402)	top5 90.495	Train top1 41.109	loss 2.233	
==========Valid [2/20]	loss 2.384	top1 74.138 (74.138)	top5 93.739	Train top1 70.898	loss 1.973	
==========Valid [3/20]	loss 2.508	top1 74.501 (74.501)	top5 92.740	Train top1 74.862	loss 1.936	
==========Valid [4/20]	loss 1.926	top1 81.239 (81.239)	top5 95.690	Train top1 77.058	loss 1.916	
==========Valid [5/20]	loss 1.581	top1 84.732 (84.732)	top5 96.234	Train top1 78.854	loss 1.901	
==========Valid [6/20]	loss 1.006	top1 86.842 (86.842)	top5 98.344	Train top1 81.480	loss 1.877	
==========Valid [7/20]	loss 1.402	top1 85.368 (86.842)	top5 97.368	Train top1 83.209	loss 1.862	
==========Valid [8/20]	loss 1.049	top1 88.362 (88.362)	top5 98.752	Train top1 84.806	loss 1.847	
==========Valid [9/20]	loss 1.055	top1 88.544 (88.544)	top5 98.049	Train top1 85.803	loss 1.838	
==========Valid [10/20]	loss 1.054	top1 89.837 (89.837)	top5 98.752	Train top1 85.785	loss 1.838	
==========Valid [11/20]	loss 0.958	top1 90.064 (90.064)	top5 98.843	Train top1 86.646	loss 1.830	
==========Valid [12/20]	loss 0.861	top1 90.744 (90.744)	top5 98.639	Train top1 87.643	loss 1.822	
==========Valid [13/20]	loss 0.760	top1 92.083 (92.083)	top5 99.070	Train top1 88.451	loss 1.814	
==========Valid [14/20]	loss 0.712	top1 91.969 (92.083)	top5 99.161	Train top1 88.882	loss 1.811	
==========Valid [15/20]	loss 0.632	top1 93.421 (93.421)	top5 98.979	Train top1 89.162	loss 1.808	
==========Valid [16/20]	loss 0.682	top1 93.126 (93.421)	top5 99.115	Train top1 89.659	loss 1.804	
==========Valid [17/20]	loss 0.528	top1 93.943 (93.943)	top5 99.229	Train top1 89.990	loss 1.800	
==========Valid [18/20]	loss 0.627	top1 93.013 (93.943)	top5 99.183	Train top1 90.195	loss 1.799	
==========Valid [19/20]	loss 0.559	top1 93.966 (93.966)	top5 99.478	Train top1 90.358	loss 1.797	
==========Valid [20/20]	loss 0.610	top1 93.716 (93.966)	top5 99.002	Train top1 90.484	loss 1.796	
